dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/canDisplayPictures|N|||boolean|||||||||||||R|N|en|Can Display Pictures?|canDisplayPictures<br>Qualifier: AVP181<br>Indicates whether or not the display has the ability to display pictures.|Horizontal|Boolean|6300|Left|200|Left||||Active||NULL|
avp/canDownloadGames|N|||boolean|||||||||||||R|N|en|Can Download Games?|canDownloadGames<br>Qualifier: AVP766<br>Indicates whether or not the product has the ability to download games to the device.|Horizontal|Boolean|6400|Left|200|Left||||Active||NULL|
avp/canDownloadHighSpeedBroadband|N|||boolean|||||||||||||R|N|en|Can Download High Speed Broadband?|canDownloadHighSpeedBroadband<br>Qualifier: AVP767<br>Indicates whether or not the product can download at high speeds similar to that of the broadband internet.|Horizontal|Boolean|6500|Left|200|Left||||Active||NULL|
avp/canMountUnderCabinet|N|||boolean|||||||||||||R|N|en|Can Mount Under Cabinet?|canMountUnderCabinet<br>Qualifier: AVP182<br>Indicates whether or not the product be mounted under a cabinet.|Horizontal|Boolean|6600|Left|200|Left||||Active||NULL|
avp/canPrintDirectToCD|N|||boolean|||||||||||||R|N|en|Can Print Direct To CD?|canPrintDirectToCD<br>Qualifier: AVP183<br>Indicates whether or not the product can print directly onto a CD rather than a label sheet.|Horizontal|Boolean|6700|Left|200|Left||||Active||NULL|
avp/canPrintOnTradeItem|N|||boolean|||||||||||||R|N|en|Can Print On Trade Item?|canPrintOnTradeItem<br>Qualifier: AVP184<br>Indicates whether or not you are able to print on the product.|Horizontal|Boolean|6800|Left|200|Left||||Active||NULL|
avp/canRecord2ProgramsSimultaneously|N|||boolean|||||||||||||R|N|en|Can Record 2 Programs Simultaneously?|canRecord2ProgramsSimultaneously<br>Qualifier: AVP185<br>Indicates whether or not the product can record two different shows at one time.|Horizontal|Boolean|6900|Left|200|Left||||Active||NULL|
avp/canStoreWaypoints|N|||boolean|||||||||||||R|N|en|Can Store Waypoints?|canStoreWaypoints<br>Qualifier: AVP186<br>Indicates whether or not the product has the ability to store waypoints. A waypoint is any mapped reference point you can insert into memory to mark a path or spot on the GPS.|Horizontal|Boolean|7000|Left|200|Left||||Active||NULL|
avp/canSwivel|N|||boolean|||||||||||||R|N|en|Can Swivel?|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP187<br>Indicates whether or not the product has a swivel capability.|Horizontal|Boolean|7100|Left|200|Left||||Active||NULL|
avp/canSynchronizeWithCalendars|N|||boolean|||||||||||||R|N|en|Can Synchronize With Calendars?|canSynchronizeWithCalendars<br>Qualifier: AVP768<br>Indicates whether or not the product can synchronize with other electronic calendars.|Horizontal|Boolean|7200|Left|200|Left||||Active||NULL|
